250 10 6
Nthr Ms Mflop Nite Brow Bcol t1 t2 d1 d2 1 5 10 15 20 25 
14 250 62500 63 4 1024 0 0 2 2 437.756 938.953 1014.39 1025.62 1049.21 1007.43 
4 250 3.11875e+07 16 64 64 0 0 2 2 35602.7 24383.4 14775.2 10044.9 9497.48 9442.77 
2 100 10000 4 64 64 1 0 2 2 1176.63 1088.3 1066.61 1114.08 1032.81 1071.77 
10 100 10000 4 64 64 1 0 2 2 1114.27 1115.22 1081.9 1085.42 1128.08 1098.46 
12 1000 1e+06 256 64 64 1 0 2 2 1839.02 1986.82 1766.09 1626.02 1369.16 1634.13 
6 5000 2.49975e+11 400 256 256 0 0 2 2 72585 71921.2 72361.4 72057.6 62579.2 66483.4 
12 250 62500 63 1024 4 1 1 2 2 505.359 720.735 1084.22 1058.9 1068.08 1004.04 
4 1000 1e+06 250 4 1024 0 0 2 2 1594.82 1595.03 1665.88 1610.16 1626.14 1552.01 
2 250 62500 63 1024 4 1 1 2 2 953.095 945.327 956.889 1058.35 1018.37 1021.14 
6 250 3.11875e+07 16 64 64 1 1 2 2 45607.8 27156.1 14299.2 9626.02 9096.37 9103.03 
12 500 250000 125 4 1024 0 0 0 2 1790.87 1959.26 2034.72 2473.96 2010.85 1675.52 
14 500 250000 64 64 64 0 1 2 2 1548.97 1836.22 1127.72 1020.3 902.546 830.455 
12 750 562500 188 4 1024 0 0 2 2 2689.81 2793.82 3125.81 2401.51 2942.24 2341.61 
16 100 10000 4 64 64 0 1 2 2 1073.82 1082.02 1059.45 1116.12 1110.59 1114.68 
12 100 10000 4 64 64 0 1 2 2 1091.11 997.73 1052.81 1090.75 1153.85 1094.47 
10 1000 1.999e+09 256 64 64 0 0 2 2 50692 51093.9 48098 47845.2 35814.1 29365.8 
8 100 1.99e+06 4 64 64 0 0 2 2 27102.4 13529.8 13620.1 13665.2 13455.9 13555.8 
6 500 250000 125 1024 4 1 1 2 2 2679.26 2728.46 2919.17 2675.65 2359.21 2267.31 
14 1000 1e+06 256 64 64 0 1 2 2 1931.36 2032.1 2017.71 1476.03 1786.25 1435.52 
4 250 62500 63 4 1024 0 0 2 2 1054.13 1120.24 1340.18 1290.07 1391.74 1306.39 
4 750 562500 144 64 64 0 1 2 2 1876.12 1881.34 1724.92 1710.87 1796.45 1518.85 
8 250 62500 63 4 1024 0 0 0 2 873.572 1153.44 1454.68 1555.23 1542.64 1434.16 
14 750 562500 144 64 64 0 1 2 2 2203.21 2167.69 1721.69 1740.47 1373.79 1319.81 
2 750 8.43188e+08 144 64 64 0 0 2 2 12733.2 12729.7 12813.6 12916.5 12033.4 12329.2 
2 500 2.4975e+08 64 64 64 0 0 2 2 18162.8 18276.8 17922.3 18010.9 14747 15572.6 
4 1000 1.999e+09 256 64 64 0 0 2 2 23965.6 24324.9 24502.2 24138.3 21621.4 20894.8 
16 1000 1e+06 256 64 64 1 0 2 2 1962.3 1919.89 1905.56 1296.96 1630.23 1288.82 
10 750 562500 144 64 64 0 1 2 2 2245.28 2385.45 2169.11 1809.51 1641.75 1455.33 
16 250 3.11875e+07 16 64 64 1 1 2 2 62618.6 25299.7 13656.8 9186.89 8648.54 8672.96 
4 7500 8.43694e+11 900 256 256 0 0 2 2 50821.9 50634.1 50676.9 50662 50546.8 50651.2 
16 100 10000 25 1024 4 1 1 2 2 1420.08 1469.31 1461.6 1446.97 1469.62 1447.24 
8 750 562500 188 4 1024 0 0 0 2 4670.64 4722.5 4990.52 5068.19 4241.59 3807.03 
12 250 3.11875e+07 16 64 64 0 0 2 2 62487.4 26042.4 13995.4 9417.92 8945.02 8928.52 
10 250 62500 16 64 64 0 1 2 2 733.378 760.249 620.859 444.4 430.272 419.418 
10 250 3.11875e+07 16 64 64 0 0 2 2 60975.5 25306.1 13934.9 9473.8 9005.8 8957.63 
4 1000 1.999e+09 256 64 64 1 1 2 2 23988.3 24048.4 23652.2 24736.6 22095.5 20910.9 
4 500 250000 64 64 64 0 1 2 2 1755.37 1721.45 1689.85 1630.37 1497.47 1313.84 
12 250 62500 63 4 1024 0 0 0 2 462.367 707.646 1088.96 1163.17 1098.86 1070.25 
14 500 2.4975e+08 64 64 64 1 1 2 2 87851.8 51616.3 35877.4 31602.9 24833.1 20698.4 
14 1000 1.999e+09 256 64 64 0 0 2 2 71615.8 70580 67932.5 47859 35993.4 29373.4 
6 250 62500 16 64 64 1 0 2 2 1055.17 1131.83 824.42 608.61 588.547 584.342 
10 250 3.11875e+07 16 64 64 1 1 2 2 60744.1 25899.1 14013.6 9457.44 8943.27 8980.66 
2 1000 1.999e+09 256 64 64 1 1 2 2 12493.8 12698.5 12677.3 12640 12802.3 12515.3 
8 100 10000 4 64 64 1 0 2 2 1096.69 1076.01 1099.24 1070.6 1120.09 1115.49 
14 1000 1e+06 250 4 1024 0 0 2 2 2113.15 2248.82 2453.45 1593.48 3439.57 2025.84 
6 250 62500 63 4 1024 0 0 0 2 1048.72 1248.37 1348.58 1495.03 1589.9 1604.46 
10 100 10000 25 4 1024 0 0 2 2 1540.78 1486.23 1501.26 1578.42 1588.73 1598.71 
14 250 62500 63 4 1024 0 0 2 2 391.772 777.704 992.278 928.805 946.682 1036.18 
4 250 62500 16 64 64 1 0 2 2 932.51 1185.72 902.254 650.148 615.241 620.559 
6 500 250000 125 4 1024 0 0 0 2 3016.64 3038.36 3327.21 3224.15 2924.51 2837.07 
4 750 562500 188 4 1024 0 0 2 2 2741.08 2724.44 2747.12 2669.67 2530.33 2997.32 
12 5000 2.49975e+11 400 256 256 0 0 2 2 130700 127437 121530 109907 117538 97927.3 
16 750 8.43188e+08 144 64 64 1 1 2 2 85879.5 80065.1 43004.5 31499.5 28408 26127.9 
14 100 10000 4 64 64 0 1 2 2 1155.95 1125.95 1089.42 1144.01 1106.29 1071.2 
16 750 562500 188 4 1024 0 0 2 2 2142.87 2405.65 2012.37 3201.9 2198.8 1713.7 
2 250 62500 63 4 1024 0 0 0 2 1074.64 1111.53 1115.11 1220.39 1252.05 1223.99 
8 100 10000 25 1024 4 1 1 2 2 1459.79 1548.41 1541.24 1503.48 1465.26 1516.65 
4 500 250000 125 4 1024 0 0 2 2 2236.61 2271.16 2288.28 2388.56 2276.77 2004.41 
2 500 250000 125 1024 4 1 1 2 2 1572.12 1575.77 1565.88 1544.58 1533.26 1489.33 
10 100 1.99e+06 4 64 64 0 0 2 2 24307.5 13596.1 13601.5 13717.5 13339.6 13415.5 
6 100 10000 25 4 1024 0 0 0 2 2283.46 2365.83 2288.62 2216.49 2353.84 2330.58 
10 1000 1.999e+09 256 64 64 1 1 2 2 50534.6 51038.8 47878.3 47814.6 36316.5 29694.5 
4 100 1.99e+06 4 64 64 1 1 2 2 26850.4 15023.1 14962.6 15050.5 15085.5 15067.6 
6 250 62500 63 4 1024 0 0 2 2 1059.86 1197.15 1312.64 1355.81 1438.08 1393.9 
8 500 250000 125 4 1024 0 0 2 2 2808.2 2770.39 3093.19 2558.5 2480.99 2515.57 
4 500 250000 64 64 64 1 0 2 2 1756.85 1731.06 1683.98 1630.43 1542.63 1346.98 
2 500 250000 125 4 1024 0 0 2 2 1572.32 1566.04 1539.97 1554.37 1499.06 1461.69 
10 750 8.43188e+08 144 64 64 0 0 2 2 52307.5 54955.8 41538.5 28300 24830.4 22458.9 
16 250 3.11875e+07 16 64 64 0 0 2 2 62273.1 26423.1 13553.7 9219.57 8678.98 8677.5 
16 750 562500 144 64 64 1 0 2 2 2337.31 2602.99 2057.46 1535.11 1273.77 1193.27 
14 250 62500 16 64 64 0 1 2 2 556.185 634.287 580.094 421.243 426.133 415.805 
14 100 10000 25 1024 4 1 1 2 2 1585.83 1531.27 1504.76 1583.18 1488.78 1479.93 
12 7500 8.43694e+11 900 256 256 1 1 2 2 140629 138846 139745 139212 136780 137504 
14 750 562500 188 4 1024 0 0 2 2 2582.79 2725.08 2486.58 3504.97 2588.36 2092.23 
4 100 10000 4 64 64 0 1 2 2 1155.48 1089.71 1108.48 1104.3 1155.5 1124.93 
10 100 10000 4 64 64 0 1 2 2 1052.13 1119.82 1099.89 1074.75 1100.37 1104.12 
8 250 62500 16 64 64 1 0 2 2 1069.82 1128.39 808.226 589.093 556.973 557.75 
10 2500 3.12438e+10 100 256 256 1 1 2 2 107500 118772 86513.1 81010.1 62642.1 49534.4 
8 250 62500 63 1024 4 1 1 2 2 840.021 1128.75 1337.37 1410.13 1357.81 1228.68 
6 750 8.43188e+08 144 64 64 1 1 2 2 36144.2 35227.2 29445.9 29958 21943.8 19114.4 
14 750 562500 144 64 64 1 0 2 2 2247.34 2193.45 1690.25 1656.49 1476.11 1367.88 
16 1000 1e+06 250 4 1024 0 0 0 2 3017.25 2974.2 3353.71 2665.77 3848.2 2488.42 
2 250 62500 16 64 64 1 0 2 2 787.002 834.05 938.377 682.345 694.448 694.504 
6 500 250000 125 4 1024 0 0 2 2 2645.59 2641.01 2921.55 2693.5 2404.72 2296.4 
2 100 10000 25 1024 4 1 1 2 2 1538.53 1517.1 1566.61 1503.88 1592.73 1432.83 
12 1000 1e+06 250 4 1024 0 0 0 2 3621.87 3656.33 3421.02 3271.67 2678.86 3660.51 
10 5000 2.49975e+11 400 256 256 0 0 2 2 116083 114342 115405 105700 115785 97502.5 
10 1000 1e+06 256 64 64 1 0 2 2 1834.01 1846.43 1861.88 1753.14 1340.1 1101.12 
10 100 10000 25 4 1024 0 0 0 2 2343.62 2306.67 2308.74 2280.12 2318.98 2348.87 
10 100 10000 25 4 1024 0 0 2 2 1529.01 1563.03 1489.19 1514.91 1528.67 1539.15 
4 1000 1e+06 250 1024 4 1 1 2 2 1670.22 1652.88 1649.7 1650.04 1584.64 1552.79 
4 10000 1.9999e+12 1600 256 256 1 1 2 2 52485.5 51241.4 52872.3 51323 51533.2 51132.6 
16 250 62500 16 64 64 0 1 2 2 856.043 672.704 546.907 418.733 418.729 425.393 
10 500 250000 125 4 1024 0 0 2 2 2025.32 2351.78 2297.42 2409.94 2152.56 2156.41 
6 5000 2.49975e+11 400 256 256 1 1 2 2 72988 72832.4 72992.4 74142.5 64894.4 68228.7 
6 750 562500 144 64 64 1 0 2 2 2299.39 2432.22 2240.72 2206.47 1676.22 1604.81 
10 750 562500 188 4 1024 0 0 2 2 3079.43 3120.24 3393.07 3067.38 2933.66 2829.69 
4 250 62500 63 4 1024 0 0 2 2 1065.87 1094.78 1313.75 1352.69 1384.25 1311.77 
6 7500 8.43694e+11 900 256 256 1 1 2 2 73670 73204.4 73630.5 73209.9 73842.7 72883.4 
12 1000 1.999e+09 256 64 64 0 0 2 2 59717.3 60142.5 53897.8 48241.3 35762.7 31072.3 
16 7500 8.43694e+11 900 256 256 1 1 2 2 176637 176711 176632 174481 175623 148903 
12 500 250000 64 64 64 1 0 2 2 1744.34 1475.51 1270.41 1167.29 951.814 830.535 
2 750 562500 144 64 64 1 0 2 2 1063.86 1020.96 945.674 1028.45 905.93 969.441 
8 7500 8.43694e+11 900 256 256 0 0 2 2 91430.4 91231.6 91728.6 91278.9 91209.7 91078.4 
8 100 10000 25 4 1024 0 0 2 2 1495.46 1549.99 1577.56 1461.4 1446.02 1540.31 
14 750 8.43188e+08 144 64 64 0 0 2 2 70831.2 64321.4 41536.9 29217.8 25654.9 19238.2 
10 2500 3.12438e+10 100 256 256 0 0 2 2 102572 111773 80503.4 71896.1 60368.2 49087.7 
4 750 562500 144 64 64 1 0 2 2 1844.32 1848.17 1740.98 1678.23 1844.81 1477.95 
14 1000 1e+06 250 1024 4 1 1 2 2 2181.84 2124.73 2392.27 1544.13 3739.16 2041.99 
12 100 10000 25 4 1024 0 0 0 2 2350.62 2228.16 2358.68 2307.77 2292.7 2240.1 
2 500 2.4975e+08 64 64 64 1 1 2 2 18073.6 18279.2 17860.2 17954.9 14773.2 15595 
12 500 250000 64 64 64 0 1 2 2 1881.89 1517.91 1243.2 1163.38 952.741 805.333 
2 7500 8.43694e+11 900 256 256 1 1 2 2 27420.4 27193.3 27202 27378.8 27109.4 27337.6 
16 1000 1.999e+09 256 64 64 0 0 2 2 84335.4 72916 69564.5 47576.7 35222.1 30727.4 
10 750 8.43188e+08 144 64 64 1 1 2 2 52785.5 54776.1 42045.8 29600.9 26195.7 25850.5 
14 500 250000 125 1024 4 1 1 2 2 1565.84 1891.35 2296.15 1892.64 1687.6 1573.54 
10 750 562500 188 4 1024 0 0 0 2 3066.31 3291.73 3617.19 3445.09 3452.53 3347.29 
10 500 250000 125 4 1024 0 0 0 2 1811.32 2206.33 2378.17 2670.89 2262.91 2456.36 
12 2500 3.12438e+10 100 256 256 1 1 2 2 132237 117781 93577.1 80452.8 62043 50069.8 
4 250 62500 16 64 64 0 1 2 2 948.97 1156.64 903.139 650.833 621.66 620.782 
8 750 8.43188e+08 144 64 64 1 1 2 2 41637 42111.4 41947.3 28556.7 21289.6 23191.6 
14 500 250000 125 4 1024 0 0 2 2 1669.29 1995.88 2759.62 2051 1703.6 1574.04 
8 1000 1e+06 250 4 1024 0 0 2 2 1798.94 1784.92 1845.86 1785.54 1925.11 1722.86 
8 1000 1.999e+09 256 64 64 1 1 2 2 44036.4 44649.9 38783.6 36521.7 35485.5 28908 
2 2500 3.12438e+10 100 256 256 1 1 2 2 26771 26473.9 26560.7 26357.2 23880 27442.1 
8 500 250000 125 4 1024 0 0 0 2 2922.53 3139.93 3517.17 3135.94 3013.13 3000.89 
8 5000 2.49975e+11 400 256 256 1 1 2 2 91225.4 91295.3 91213.4 83310.5 82978.8 95366.2 
4 250 62500 63 1024 4 1 1 2 2 1095.03 1143.1 1329.79 1275.48 1412 1327.14 
12 1000 1e+06 250 4 1024 0 0 2 2 2443.59 2380.3 2272.14 2108.76 1598.18 2290.85 
2 100 10000 25 4 1024 0 0 0 2 2367.89 2326.69 2368.41 2349.01 2346.17 2358.74 
4 500 250000 125 1024 4 1 1 2 2 2283.44 2274.02 2278.22 2381.24 2302.97 2010.26 
6 1000 1e+06 250 4 1024 0 0 0 2 4742.79 4636.12 4724.33 4822.31 4696.85 4542.81 
10 500 250000 125 4 1024 0 0 2 2 2007.14 2285.6 2447 2294.24 2049.19 2185.22 
12 500 2.4975e+08 64 64 64 1 1 2 2 85177.4 51503 34462.6 32663 25641 20804.5 
12 750 562500 144 64 64 1 0 2 2 2194.25 2279.25 1871.22 1804.64 1546.97 1298.02 
2 1000 1e+06 256 64 64 0 1 2 2 542.758 547.663 535.639 528.758 545.112 535.781 
16 750 562500 188 4 1024 0 0 2 2 2455.89 2602.4 2036.25 3240.26 2188.63 1817.78 
12 750 562500 188 4 1024 0 0 0 2 2807.86 2919.87 3248.6 2416.17 3494.85 2629.52 
8 1000 1.999e+09 256 64 64 0 0 2 2 44170.7 44363.9 38553.2 34618.5 35602.8 28552.2 
6 7500 8.43694e+11 900 256 256 0 0 2 2 72984.1 72641.4 72896.8 72682.2 72709.4 72947.3 
14 1000 1e+06 250 4 1024 0 0 0 2 3181.45 3363.89 3927.95 2351.86 4741.19 3039.64 
16 1000 1e+06 250 4 1024 0 0 2 2 2040.65 1939.95 2147.47 1708.88 2498.53 1583.47 
6 1000 1e+06 256 64 64 0 1 2 2 1216.23 1232.27 1260.54 1205.85 1177.94 1127.07 
16 750 562500 188 4 1024 0 0 0 2 2414.64 2651.47 2060.26 3546.44 2364.59 1888.95 
14 2500 3.12438e+10 100 256 256 1 1 2 2 151599 119208 92075.2 81818.9 62648.9 50166.9 
14 100 10000 4 64 64 1 0 2 2 1124.81 1118.44 1105.96 1065.8 1090.43 1125.44 
8 2500 3.12438e+10 100 256 256 1 1 2 2 84700 81402 61837.2 79530.8 60889.6 50158.5 
16 750 562500 188 1024 4 1 1 2 2 2367.25 2591.09 2050.1 3233.62 2271.65 1812.93 
4 5000 2.49975e+11 400 256 256 1 1 2 2 52881.5 51531 53037.1 51386.2 51108.7 51633 
10 500 250000 64 64 64 0 1 2 2 1732.16 1733.34 1441.08 1194.34 981.718 929.113 
8 500 250000 64 64 64 1 0 2 2 2322.73 2424.58 1784.86 1726.41 1540.31 1294.94 
14 500 250000 125 4 1024 0 0 2 2 1597.41 1896.35 2656.87 1932.78 1629.53 1630.94 
12 750 8.43188e+08 144 64 64 0 0 2 2 67505.7 56146.3 41156.8 28948.5 26166 23106 
8 750 562500 144 64 64 1 0 2 2 2750.16 2709.94 2803.51 2064.6 1731.17 1642.97 
6 750 562500 188 4 1024 0 0 2 2 3469.48 3421.9 3465.56 3522.68 3481.36 2869.52 
14 7500 8.43694e+11 900 256 256 0 0 2 2 153341 151640 154256 150479 137076 141903 
16 500 250000 125 4 1024 0 0 0 2 1265.22 1896.05 2343.45 1835.64 1415.1 1780.89 
10 500 2.4975e+08 64 64 64 1 1 2 2 69729.4 51735.2 34903.8 30216.9 24446.9 20653.6 
12 500 2.4975e+08 64 64 64 0 0 2 2 85234.7 51682.6 33009.4 29459.3 25346.6 20595.5 
10 5000 2.49975e+11 400 256 256 1 1 2 2 119325 119237 120267 109222 118611 100052 
10 250 62500 63 1024 4 1 1 2 2 485.255 719.716 1084.35 1089.73 1093.68 1003.94 
12 750 562500 188 4 1024 0 0 2 2 2722.68 2718.22 3126.23 2376.78 2949.4 2435.12 
8 1000 1e+06 256 64 64 0 1 2 2 1401.22 1408.49 1360.88 1319.53 1266.37 1067.81 
2 100 10000 4 64 64 0 1 2 2 1098.64 1111.23 1042.09 1117.82 1138.59 1097.3 
8 500 250000 125 4 1024 0 0 2 2 2810 2880.63 3144.77 2568.56 2409.59 2331 
16 5000 2.49975e+11 400 256 256 0 0 2 2 162473 163276 153891 153138 116122 113944 
8 750 562500 188 1024 4 1 1 2 2 3809.59 3880.17 3935.21 3975.32 3288.6 2856.5 
16 100 10000 4 64 64 1 0 2 2 1095.81 1080.09 1071.11 1093.71 1064.72 1127.35 
6 1000 1.999e+09 256 64 64 1 1 2 2 33831 33473.8 33521.7 33299.7 30112.4 30322.6 
6 750 8.43188e+08 144 64 64 0 0 2 2 35527.3 35565.4 28455.7 28519 22057.2 19140.2 
10 750 562500 188 1024 4 1 1 2 2 2989.97 2976.96 3348.17 3092.47 3059.05 2667.5 
14 500 250000 125 4 1024 0 0 0 2 1386.44 2078.19 2768.22 2069.95 1682.34 1655.71 
8 250 62500 63 4 1024 0 0 2 2 918.257 1159.91 1367.33 1395.35 1361.08 1244.5 
2 750 8.43188e+08 144 64 64 1 1 2 2 13465.9 13146.4 13279.4 13409.8 11859.2 12659.7 
16 100 1.99e+06 4 64 64 1 1 2 2 25476.2 13105.5 13051.5 13072.8 13317.1 13040.6 
4 750 562500 188 4 1024 0 0 0 2 3497.92 3492.71 3527.87 3509.21 3391.21 3843.37 
10 1000 1e+06 250 4 1024 0 0 2 2 2342.54 2326.85 2594.41 2381.45 1804.16 2253.69 
2 1000 1e+06 256 64 64 1 0 2 2 541.976 517.105 544.504 562.611 562.97 534.539 
16 100 10000 25 4 1024 0 0 0 2 2317.7 2325.13 2300.7 2268.15 2293.49 2310.02 
10 500 2.4975e+08 64 64 64 0 0 2 2 69092.2 51879.4 34434.7 30250 23492.5 19834.4 
14 1000 1e+06 256 64 64 1 0 2 2 1987.4 1968.13 1976.87 1436.72 2047.98 1389.63 
2 2500 3.12438e+10 100 256 256 0 0 2 2 25616.9 25699 25757.6 25228.9 23120.3 26562 
16 500 250000 125 1024 4 1 1 2 2 1232.68 1932.55 2559.63 1824.15 1714.67 1687.79 
12 100 10000 25 4 1024 0 0 2 2 1532.72 1575.46 1466.18 1547.42 1527.37 1598.08 
14 250 3.11875e+07 16 64 64 1 1 2 2 61635.3 26120 13909.8 9328.91 8842.26 8824.15 
4 100 1.99e+06 4 64 64 0 0 2 2 26390.3 15138.6 15018.8 15001.8 15054.8 14954.3 
16 2500 3.12438e+10 100 256 256 0 0 2 2 153341 115103 93642.2 78476.3 58775.7 47895.3 
8 100 1.99e+06 4 64 64 1 1 2 2 27373.5 13767.5 13724.4 13638.1 13735.9 13616.4 
6 100 10000 25 4 1024 0 0 2 2 1494.5 1512.04 1515.46 1586.86 1556.72 1545.69 
6 750 562500 188 4 1024 0 0 0 2 4305.82 4311.97 4285.44 4511.16 4420.03 3810.04 
2 1000 1e+06 250 4 1024 0 0 0 2 2126.76 2226.76 2204.49 2266.75 2224.64 2237.1 
16 750 562500 144 64 64 0 1 2 2 2372.6 2453.76 2352.66 1537.72 1321.52 1178.88 
14 750 562500 188 1024 4 1 1 2 2 2582.7 2781.64 2384.8 3396.87 2635.25 2067.37 
14 500 2.4975e+08 64 64 64 0 0 2 2 88503 51895.7 34935.3 30099 24850.8 19816.9 
8 250 62500 63 4 1024 0 0 2 2 921.223 1117.31 1338.19 1370.14 1356.99 1277.1 
6 1000 1e+06 250 4 1024 0 0 2 2 1788.2 1754.62 1801.66 1797.87 1803.66 1815.14 
6 1000 1e+06 256 64 64 1 0 2 2 1190.28 1230.74 1232.59 1228.63 1172.05 1135.02 
10 100 10000 25 1024 4 1 1 2 2 1497.89 1572.26 1544.62 1469.63 1379.53 1531.76 
8 250 3.11875e+07 16 64 64 1 1 2 2 63123.6 25786.9 13807.5 9278.71 8770.05 8749.42 
8 2500 3.12438e+10 100 256 256 0 0 2 2 80083.6 78931.3 59433.1 68509.9 60315 48995.1 
10 100 1.99e+06 4 64 64 1 1 2 2 24311 13316 13188.8 13174.2 13146.5 13280.8 
10 1000 1e+06 250 4 1024 0 0 2 2 2090.16 1973.38 2403.62 2342.54 2217.41 1946.75 
12 250 62500 63 4 1024 0 0 2 2 486.486 733.232 1022.27 1069.51 1063.36 982.441 
12 100 10000 25 1024 4 1 1 2 2 1549.84 1581.16 1540.07 1447.87 1525.44 1519.46 
12 10000 1.9999e+12 1600 256 256 1 1 2 2 136858 137740 137725 138583 138155 138410
4 250 3.11875e+07 16 64 64 1 1 2 2 35055.1 23348.6 14873.1 9997.11 9434.08 9437.09 
2 750 562500 144 64 64 0 1 2 2 1042.84 1053.33 970.195 983.464 927.793 1005.95 
16 500 2.4975e+08 64 64 64 1 1 2 2 116926 51812.6 37267.2 30868.9 25666.1 20542.4 
6 2500 3.12438e+10 100 256 256 0 0 2 2 64385.9 63562.1 61536.2 50909.7 60194.6 49869.2 
16 100 10000 25 4 1024 0 0 2 2 1511.31 1549.47 1561.43 1525.97 1552.75 1433.16 
4 100 10000 25 1024 4 1 1 2 2 1541.06 1600.29 1551.55 1583.58 1551.26 1548.44 
12 250 62500 16 64 64 1 0 2 2 734.986 711.547 573.83 425.568 428.593 419.466 
14 5000 2.49975e+11 400 256 256 0 0 2 2 147249 143559 152889 153601 118745 99109.9 
2 750 562500 188 1024 4 1 1 2 2 1762.07 1741.88 1704.27 1741.11 1728.94 1658.92 
6 500 2.4975e+08 64 64 64 1 1 2 2 45552.7 41959 30641.6 27660.2 25957.9 21456.8 
14 750 8.43188e+08 144 64 64 1 1 2 2 72192.8 60636.6 42853.6 32747.4 27730.3 30179.3 
6 250 62500 16 64 64 0 1 2 2 1040.77 1178.6 833.816 607.412 583.947 588.651 
16 100 1.99e+06 4 64 64 0 0 2 2 24905.4 13400.3 13079 13092.1 13273.6 13191.4 
14 5000 2.49975e+11 400 256 256 1 1 2 2 151175 149274 159133 159333 124820 103348 
2 1000 1e+06 250 4 1024 0 0 2 2 1113.59 1138.02 1141.11 1125.68 1145.95 1158.53 
10 1000 1e+06 250 1024 4 1 1 2 2 2249.91 2314.45 2243.64 2043.02 2043.58 2144.56 
4 100 10000 25 4 1024 0 0 0 2 2338.71 2363.28 2322.55 2314.45 2367.93 2359.28 
4 500 2.4975e+08 64 64 64 0 0 2 2 34919.7 31732.1 28161.7 27324 25213.7 20902.3 
8 1000 1e+06 250 4 1024 0 0 2 2 1756.1 1858.92 1815.3 1833.8 1861.87 1730.06 
4 100 10000 25 4 1024 0 0 2 2 1540.66 1471.16 1596.47 1508.48 1515.9 1567.24 
12 7500 8.43694e+11 900 256 256 0 0 2 2 137104 137400 137133 137770 127155 134613 
6 750 562500 188 1024 4 1 1 2 2 3455.72 3536.23 3403.3 3458.33 3335.19 2930.9 
